product_id,product_name,product_type,unit_size,brand,supplier,price,date_received,batch_number,expiration_date
P0104,Gas Tank 11kg,Dry Goods,1 pack,SafePlus,MediCare Distributors,220.54,2020-02-02,BATCH-8225,2022-02-03
P0419,Medical Gloves Box,Beverage,500ml,Nestle,FoodLine Services,539.6,2019-03-28,BATCH-5306,2022-02-11
P0571,Isopropyl Alcohol 500ml,Beverage,1kg,Nestle,MediCare Distributors,496.99,2018-06-17,BATCH-7511,2021-02-03
P0293,Canned Tuna 155g,Dry Goods,11kg,Sanicare,AquaLife Corp.,1350.62,2023-02-09,BATCH-3535,2023-08-09
P0896,Isopropyl Alcohol 500ml,Perishable,25kg,SafePlus,FoodLine Services,531.69,2023-09-15,BATCH-2890,2024-06-02
P0282,Powdered Milk 1kg,Non-perishable,500ml,Sanicare,Global Supply Ltd.,139.77,2023-02-27,BATCH-6733,2026-01-15
P0136,Canned Tuna 155g,Non-perishable,1 pack,Nestle,FoodLine Services,1402.29,2023-01-22,BATCH-5880,2023-11-16
P0907,Gas Tank 11kg,Consumable,1kg,Generic,MediCare Distributors,1168.71,2022-02-24,BATCH-8323,2023-08-04
P0698,Gas Tank 11kg,Beverage,25kg,SafePlus,FoodLine Services,1325.61,2020-08-25,BATCH-9539,2022-06-01
P0356,Powdered Milk 1kg,Consumable,155g,Generic,FreshHarvest Co.,965.43,2022-11-01,BATCH-7781,2024-06-27
P0817,Isopropyl Alcohol 500ml,Non-perishable,1L,Generic,SafeMeds Inc.,531.67,2023-07-18,BATCH-2568,2025-10-08
P0949,Hand Sanitizer 250ml,Non-perishable,11kg,Sanicare,AquaLife Corp.,1488.37,2021-05-24,BATCH-6039,2023-03-19
P0608,Paper Towels,Consumable,1kg,MediHealth,FreshHarvest Co.,1446.73,2018-10-23,BATCH-4150,2021-07-27
P0047,Medical Gloves Box,Beverage,155g,SafePlus,SafeMeds Inc.,1141.71,2018-12-29,BATCH-7077,2020-03-02
P0063,Rice 25kg,Consumable,155g,Dole,FreshHarvest Co.,1081.16,2023-10-07,BATCH-6783,2024-10-14
P0473,Hand Sanitizer 250ml,Non-perishable,1L,Generic,FreshHarvest Co.,972.44,2019-07-20,BATCH-4576,2022-05-19
P0569,Powdered Milk 1kg,Perishable,1L,PrimeGas,MediCare Distributors,167.91,2019-11-20,BATCH-7097,2021-06-14
P0866,Canned Tuna 155g,Perishable,250ml,Nestle,AquaLife Corp.,496.95,2017-06-29,BATCH-3822,2019-09-17
P0745,Isopropyl Alcohol 500ml,Beverage,1 box,SafePlus,Global Supply Ltd.,1475.76,2020-08-11,BATCH-7231,2023-04-26
P0998,Rice 25kg,Non-perishable,155g,Sanicare,FoodLine Services,1018.14,2019-03-05,BATCH-6081,2019-12-22
P0177,Hand Sanitizer 250ml,Consumable,25kg,MediHealth,FoodLine Services,940.94,2017-11-16,BATCH-8457,2019-01-26
P0933,Hand Sanitizer 250ml,Perishable,1L,PrimeGas,SafeMeds Inc.,1234.55,2018-08-09,BATCH-4615,2019-11-16
P0999,Hand Sanitizer 250ml,Perishable,250ml,Sanicare,Global Supply Ltd.,1127.15,2022-08-24,BATCH-4923,2023-04-11
P0088,Paper Towels,Dry Goods,250ml,Generic,FreshHarvest Co.,1370.37,2019-11-27,BATCH-4771,2022-06-15
P0678,Medical Gloves Box,Dry Goods,11kg,Generic,FreshHarvest Co.,1024.2,2023-07-13,BATCH-5445,2026-03-02
P0282,Isopropyl Alcohol 500ml,Dry Goods,1L,Sanicare,FreshHarvest Co.,1083.26,2023-05-02,BATCH-9145,2024-12-31
P0521,Paper Towels,Perishable,250ml,MediHealth,AquaLife Corp.,506.44,2020-03-13,BATCH-8412,2021-05-07
P0615,Gas Tank 11kg,Perishable,1 pack,PrimeGas,FoodLine Services,690.62,2020-04-13,BATCH-1073,2021-04-25
P0544,Bottled Water 500ml,Dry Goods,1 box,PrimeGas,FreshHarvest Co.,534.68,2019-10-27,BATCH-6019,2021-09-04
P0846,IV Fluid 1L,Beverage,1 pack,PrimeGas,AquaLife Corp.,1032.69,2019-06-04,BATCH-8274,2022-01-31
P0160,IV Fluid 1L,Consumable,1 pack,Sanicare,FoodLine Services,128.4,2024-02-06,BATCH-5507,2025-05-16
P0120,Canned Tuna 155g,Consumable,250ml,Generic,SafeMeds Inc.,501.74,2023-09-20,BATCH-9878,2025-10-10
P0975,Paper Towels,Perishable,155g,Dole,FoodLine Services,958.27,2023-12-07,BATCH-1310,2025-08-19
P0972,Rice 25kg,Dry Goods,1kg,Sanicare,Global Supply Ltd.,924.48,2020-11-28,BATCH-1427,2022-12-19
P0322,Medical Gloves Box,Consumable,1 box,Sanicare,Global Supply Ltd.,78.87,2021-12-20,BATCH-8999,2022-12-31
P0485,Medical Gloves Box,Beverage,1kg,PrimeGas,MediCare Distributors,682.72,2019-10-07,BATCH-7111,2022-03-20
P0601,Medical Gloves Box,Consumable,1L,Sanicare,Global Supply Ltd.,982.82,2024-03-08,BATCH-4367,2026-03-12
P0768,Paper Towels,Consumable,1 pack,MediHealth,FoodLine Services,1267.17,2020-02-28,BATCH-2000,2021-11-04
P0715,Rice 25kg,Dry Goods,1L,Generic,Global Supply Ltd.,1069.81,2020-02-04,BATCH-6444,2021-11-24
P0477,Gas Tank 11kg,Dry Goods,1 pack,SafePlus,FoodLine Services,748.1,2022-05-06,BATCH-5730,2023-08-08
P0179,Bottled Water 500ml,Dry Goods,1 box,Dole,MediCare Distributors,853.84,2019-06-25,BATCH-7906,2021-11-22
P0720,Bottled Water 500ml,Dry Goods,155g,MediHealth,Global Supply Ltd.,903.03,2023-02-25,BATCH-8437,2024-05-30
P0693,Bottled Water 500ml,Beverage,1 box,Dole,Global Supply Ltd.,428.31,2022-06-10,BATCH-2360,2025-05-08
P0839,Paper Towels,Perishable,1kg,PrimeGas,FreshHarvest Co.,925.36,2017-06-29,BATCH-1226,2019-04-16
P0391,IV Fluid 1L,Beverage,11kg,PrimeGas,FreshHarvest Co.,80.42,2024-03-06,BATCH-3737,2026-06-04
P0889,IV Fluid 1L,Perishable,1 box,Sanicare,FoodLine Services,217.93,2017-01-23,BATCH-7546,2019-07-16
P0769,Powdered Milk 1kg,Non-perishable,1kg,Dole,Global Supply Ltd.,792.9,2024-06-04,BATCH-4439,2026-05-17
P0464,Canned Tuna 155g,Perishable,1 pack,Dole,FoodLine Services,1499.51,2017-03-06,BATCH-6441,2018-12-09
P0446,IV Fluid 1L,Non-perishable,1kg,Nestle,FoodLine Services,162.16,2022-01-24,BATCH-4764,2023-02-22
P0007,Bottled Water 500ml,Consumable,1 box,SafePlus,FreshHarvest Co.,823.91,2019-12-29,BATCH-5411,2022-05-22
P0391,Gas Tank 11kg,Perishable,1L,Sanicare,AquaLife Corp.,640.18,2024-01-19,BATCH-7306,2024-07-19
P0026,Medical Gloves Box,Perishable,155g,PrimeGas,FoodLine Services,77.68,2022-04-23,BATCH-4802,2023-05-11
P0410,Powdered Milk 1kg,Dry Goods,1kg,Sanicare,FreshHarvest Co.,59.97,2022-10-16,BATCH-5652,2023-11-06
P0649,Canned Tuna 155g,Consumable,250ml,Dole,SafeMeds Inc.,632.33,2021-04-22,BATCH-3931,2022-01-14
P0532,Gas Tank 11kg,Dry Goods,25kg,SafePlus,Global Supply Ltd.,231.09,2023-06-27,BATCH-2007,2025-02-17
P0301,Hand Sanitizer 250ml,Non-perishable,500ml,Sanicare,Global Supply Ltd.,886.43,2020-07-20,BATCH-4561,2023-06-26
P0024,Bottled Water 500ml,Consumable,250ml,SafePlus,Global Supply Ltd.,1158.51,2019-03-22,BATCH-9246,2020-10-05
P0822,Bottled Water 500ml,Consumable,250ml,Sanicare,FoodLine Services,816.05,2021-02-28,BATCH-8169,2022-09-15
P0620,Canned Tuna 155g,Consumable,1L,Dole,MediCare Distributors,913.47,2024-04-22,BATCH-9148,2025-09-12
P0241,Medical Gloves Box,Dry Goods,1 pack,MediHealth,FoodLine Services,362.51,2022-01-23,BATCH-1034,2023-04-30
P0774,Gas Tank 11kg,Consumable,250ml,SafePlus,SafeMeds Inc.,60.04,2024-11-11,BATCH-1525,2027-05-27
P0741,Bottled Water 500ml,Non-perishable,1kg,Nestle,FreshHarvest Co.,101.0,2021-06-27,BATCH-6223,2023-10-27
P0795,Isopropyl Alcohol 500ml,Non-perishable,250ml,SafePlus,AquaLife Corp.,1284.22,2021-05-29,BATCH-4593,2023-07-01
P0466,Rice 25kg,Dry Goods,1kg,Generic,Global Supply Ltd.,1310.55,2022-10-07,BATCH-8741,2025-06-04
P0454,IV Fluid 1L,Non-perishable,25kg,MediHealth,FoodLine Services,622.15,2019-05-01,BATCH-5501,2021-12-27
P0432,Medical Gloves Box,Non-perishable,1kg,Nestle,SafeMeds Inc.,712.55,2021-08-20,BATCH-3737,2023-08-06
P0443,Paper Towels,Consumable,1L,PrimeGas,Global Supply Ltd.,204.29,2022-02-13,BATCH-4620,2022-11-21
P0835,Canned Tuna 155g,Beverage,1L,PrimeGas,FoodLine Services,893.59,2017-06-19,BATCH-7961,2019-09-29
P0209,Rice 25kg,Non-perishable,1L,MediHealth,MediCare Distributors,881.69,2019-03-03,BATCH-4658,2021-09-25
P0080,Bottled Water 500ml,Beverage,500ml,Dole,MediCare Distributors,739.78,2021-04-06,BATCH-4113,2022-05-31
P0815,Isopropyl Alcohol 500ml,Beverage,11kg,MediHealth,Global Supply Ltd.,1361.66,2022-07-06,BATCH-6157,2024-10-12
P0579,Gas Tank 11kg,Non-perishable,250ml,PrimeGas,FreshHarvest Co.,1123.66,2018-03-01,BATCH-2339,2019-06-24
P0762,Hand Sanitizer 250ml,Consumable,1 pack,MediHealth,MediCare Distributors,1419.91,2022-10-16,BATCH-1709,2025-09-16
P0244,IV Fluid 1L,Beverage,11kg,MediHealth,Global Supply Ltd.,809.41,2024-02-16,BATCH-6584,2026-11-10
P0071,Gas Tank 11kg,Non-perishable,1 pack,Generic,FoodLine Services,418.41,2018-10-20,BATCH-8426,2021-04-03
P0833,Isopropyl Alcohol 500ml,Non-perishable,11kg,Generic,AquaLife Corp.,502.08,2023-04-25,BATCH-3716,2025-11-01
P0361,Rice 25kg,Perishable,11kg,Dole,Global Supply Ltd.,1240.03,2019-07-23,BATCH-2284,2021-05-25
P0553,Hand Sanitizer 250ml,Non-perishable,250ml,Sanicare,SafeMeds Inc.,173.89,2023-02-12,BATCH-6234,2023-08-11
P0276,Bottled Water 500ml,Beverage,1kg,Nestle,MediCare Distributors,311.67,2023-08-28,BATCH-3941,2025-11-05
P0592,Isopropyl Alcohol 500ml,Beverage,500ml,SafePlus,SafeMeds Inc.,739.76,2019-11-23,BATCH-1378,2022-06-24
P0612,Powdered Milk 1kg,Perishable,11kg,SafePlus,MediCare Distributors,1056.99,2023-04-28,BATCH-8259,2025-06-12
P0694,Rice 25kg,Non-perishable,155g,Generic,FoodLine Services,211.98,2018-03-06,BATCH-2488,2020-03-10
P0029,Gas Tank 11kg,Non-perishable,1 box,SafePlus,MediCare Distributors,1489.57,2021-11-30,BATCH-4041,2022-09-13
P0275,Gas Tank 11kg,Dry Goods,1L,Dole,FoodLine Services,35.93,2019-10-25,BATCH-7296,2022-07-27
P0383,Hand Sanitizer 250ml,Consumable,250ml,Nestle,MediCare Distributors,541.82,2024-09-20,BATCH-3984,2026-04-14
P0209,IV Fluid 1L,Dry Goods,1 pack,Dole,SafeMeds Inc.,701.15,2019-08-29,BATCH-1989,2021-03-02
P0676,Powdered Milk 1kg,Dry Goods,1 pack,SafePlus,FreshHarvest Co.,362.76,2022-03-26,BATCH-2828,2022-12-18
P0732,Medical Gloves Box,Non-perishable,1 pack,PrimeGas,SafeMeds Inc.,285.82,2020-12-07,BATCH-5850,2022-06-02
P0279,Hand Sanitizer 250ml,Perishable,500ml,PrimeGas,FreshHarvest Co.,1174.74,2022-09-09,BATCH-4378,2023-03-31
P0235,Rice 25kg,Non-perishable,25kg,Nestle,FreshHarvest Co.,1040.01,2020-07-09,BATCH-1717,2023-03-28
P0648,Isopropyl Alcohol 500ml,Dry Goods,25kg,Generic,SafeMeds Inc.,1306.41,2024-10-06,BATCH-2647,2027-02-19
P0103,IV Fluid 1L,Beverage,250ml,Nestle,FreshHarvest Co.,104.92,2019-12-14,BATCH-6635,2021-10-05
P0171,Gas Tank 11kg,Dry Goods,250ml,Dole,MediCare Distributors,480.7,2019-09-22,BATCH-3133,2022-06-01
P0514,Canned Tuna 155g,Perishable,1L,Generic,Global Supply Ltd.,224.08,2023-04-26,BATCH-9500,2025-01-25
P0171,Powdered Milk 1kg,Non-perishable,1kg,Sanicare,AquaLife Corp.,1320.55,2024-04-06,BATCH-1726,2024-12-27
P0048,Rice 25kg,Consumable,1L,MediHealth,FoodLine Services,1197.49,2024-02-24,BATCH-6146,2026-04-16
P0401,Isopropyl Alcohol 500ml,Consumable,1L,Generic,MediCare Distributors,110.93,2020-08-16,BATCH-3088,2022-10-21
P0400,Rice 25kg,Dry Goods,500ml,Nestle,Global Supply Ltd.,1478.11,2017-04-07,BATCH-8476,2019-01-27
P0825,Powdered Milk 1kg,Non-perishable,250ml,Dole,FreshHarvest Co.,562.13,2023-02-28,BATCH-7191,2024-04-30
P0546,Canned Tuna 155g,Dry Goods,11kg,Dole,SafeMeds Inc.,78.48,2024-12-16,BATCH-4741,2025-09-24
P0518,Bottled Water 500ml,Consumable,500ml,Sanicare,FreshHarvest Co.,1075.85,2019-05-17,BATCH-7186,2021-07-09
P0881,IV Fluid 1L,Consumable,1 pack,Nestle,SafeMeds Inc.,843.05,2020-10-09,BATCH-4305,2023-03-18
P0691,Medical Gloves Box,Non-perishable,25kg,Sanicare,MediCare Distributors,1294.23,2020-09-07,BATCH-5912,2022-05-24
P0839,Hand Sanitizer 250ml,Dry Goods,25kg,MediHealth,FreshHarvest Co.,687.17,2017-01-13,BATCH-2653,2017-07-20
P0436,Rice 25kg,Beverage,500ml,SafePlus,FoodLine Services,388.64,2024-10-03,BATCH-9544,2027-03-29
P0608,IV Fluid 1L,Beverage,1 box,Dole,SafeMeds Inc.,677.36,2021-12-28,BATCH-3084,2022-12-12
P0110,Canned Tuna 155g,Beverage,1L,SafePlus,FreshHarvest Co.,543.8,2017-11-15,BATCH-5581,2020-08-03
P0351,IV Fluid 1L,Beverage,25kg,Dole,AquaLife Corp.,86.03,2024-12-13,BATCH-7521,2026-10-21
P0933,Canned Tuna 155g,Perishable,1 pack,Generic,Global Supply Ltd.,304.41,2018-05-08,BATCH-8228,2021-01-01
P0537,Gas Tank 11kg,Non-perishable,1 box,Generic,FoodLine Services,702.75,2023-06-01,BATCH-5789,2024-01-19
P0684,IV Fluid 1L,Perishable,11kg,Sanicare,FreshHarvest Co.,1194.16,2024-05-26,BATCH-3635,2026-10-31
P0990,Bottled Water 500ml,Dry Goods,1L,Nestle,SafeMeds Inc.,54.2,2021-02-01,BATCH-7033,2021-08-11
P0237,Canned Tuna 155g,Dry Goods,25kg,Generic,MediCare Distributors,1280.63,2022-10-29,BATCH-7734,2024-04-18
P0975,Bottled Water 500ml,Perishable,11kg,Sanicare,AquaLife Corp.,613.55,2018-11-28,BATCH-5437,2019-10-13
P0920,Rice 25kg,Perishable,25kg,PrimeGas,MediCare Distributors,31.97,2023-06-30,BATCH-3925,2025-07-19
P0737,Powdered Milk 1kg,Beverage,155g,Generic,SafeMeds Inc.,457.8,2022-04-02,BATCH-3906,2023-06-19
P0282,Gas Tank 11kg,Beverage,155g,Generic,SafeMeds Inc.,1238.16,2020-03-21,BATCH-2329,2021-10-17
P0444,Gas Tank 11kg,Dry Goods,1 box,Nestle,Global Supply Ltd.,1477.71,2018-11-27,BATCH-9170,2021-03-27
P0096,Gas Tank 11kg,Perishable,1 pack,Sanicare,FoodLine Services,964.4,2020-10-26,BATCH-8884,2023-06-26
P0537,Isopropyl Alcohol 500ml,Beverage,250ml,MediHealth,FreshHarvest Co.,480.42,2023-02-17,BATCH-3631,2025-12-22
P0933,Hand Sanitizer 250ml,Non-perishable,250ml,PrimeGas,FoodLine Services,1250.28,2017-05-27,BATCH-4329,2020-03-03
P0681,Powdered Milk 1kg,Consumable,500ml,Generic,FreshHarvest Co.,435.36,2019-05-07,BATCH-7796,2021-02-07
P0054,Paper Towels,Consumable,155g,SafePlus,MediCare Distributors,505.83,2024-09-05,BATCH-2470,2027-01-06
P0483,Gas Tank 11kg,Beverage,155g,Dole,FreshHarvest Co.,843.22,2019-07-02,BATCH-5457,2022-05-02
P0730,Powdered Milk 1kg,Dry Goods,500ml,PrimeGas,FoodLine Services,840.57,2017-07-06,BATCH-8188,2019-06-27
P0919,Powdered Milk 1kg,Perishable,1L,Dole,FreshHarvest Co.,509.92,2020-02-26,BATCH-2235,2022-08-31
P0540,Hand Sanitizer 250ml,Dry Goods,1L,SafePlus,Global Supply Ltd.,571.16,2023-06-16,BATCH-6211,2025-07-30
P0203,Rice 25kg,Perishable,155g,Sanicare,MediCare Distributors,147.56,2019-07-29,BATCH-2220,2021-04-26
P0218,Isopropyl Alcohol 500ml,Dry Goods,25kg,Generic,Global Supply Ltd.,1171.82,2022-06-20,BATCH-9942,2024-11-22
P0218,Bottled Water 500ml,Beverage,1kg,Generic,MediCare Distributors,1018.37,2023-10-15,BATCH-9699,2024-06-19
P0178,Isopropyl Alcohol 500ml,Beverage,11kg,Dole,MediCare Distributors,856.52,2021-04-15,BATCH-4381,2022-12-01
P0082,Isopropyl Alcohol 500ml,Beverage,1kg,Dole,Global Supply Ltd.,324.81,2023-05-14,BATCH-2212,2024-05-09
P0024,Medical Gloves Box,Perishable,1 pack,Dole,AquaLife Corp.,1242.14,2021-02-28,BATCH-9343,2022-04-28
P0905,Bottled Water 500ml,Non-perishable,250ml,MediHealth,FreshHarvest Co.,1046.96,2017-11-20,BATCH-7948,2020-10-25
P0912,Canned Tuna 155g,Consumable,1 pack,PrimeGas,FreshHarvest Co.,294.86,2018-02-21,BATCH-5275,2019-10-24
P0232,IV Fluid 1L,Beverage,155g,SafePlus,SafeMeds Inc.,753.17,2022-05-23,BATCH-4489,2024-11-05
P0276,Hand Sanitizer 250ml,Beverage,250ml,Sanicare,MediCare Distributors,1060.78,2022-02-19,BATCH-8680,2023-01-23
P0650,Rice 25kg,Perishable,155g,MediHealth,FreshHarvest Co.,423.54,2018-04-28,BATCH-7708,2019-08-11
P0977,Powdered Milk 1kg,Non-perishable,25kg,PrimeGas,AquaLife Corp.,547.99,2019-09-21,BATCH-6798,2020-09-19
P0630,Hand Sanitizer 250ml,Perishable,250ml,Generic,AquaLife Corp.,573.91,2018-09-28,BATCH-3620,2019-12-23
P0801,Paper Towels,Beverage,1 pack,Dole,MediCare Distributors,281.93,2018-04-23,BATCH-2999,2019-05-27
P0398,Isopropyl Alcohol 500ml,Perishable,155g,PrimeGas,MediCare Distributors,480.41,2021-01-28,BATCH-2208,2022-03-13
P0651,Gas Tank 11kg,Beverage,1 box,Dole,AquaLife Corp.,206.06,2023-10-06,BATCH-4159,2026-07-06
P0955,Bottled Water 500ml,Non-perishable,11kg,Nestle,FoodLine Services,1360.76,2021-09-30,BATCH-4323,2022-03-31
P0852,Powdered Milk 1kg,Perishable,1 box,SafePlus,FreshHarvest Co.,254.79,2020-10-11,BATCH-5386,2021-10-18
P0760,IV Fluid 1L,Consumable,1 box,MediHealth,FoodLine Services,346.07,2022-09-01,BATCH-8533,2025-02-20
P0302,Canned Tuna 155g,Beverage,25kg,Dole,AquaLife Corp.,522.95,2024-06-13,BATCH-7713,2025-06-02
P0792,Hand Sanitizer 250ml,Non-perishable,11kg,SafePlus,FoodLine Services,1253.2,2020-12-09,BATCH-9472,2022-12-11
P0449,Paper Towels,Non-perishable,11kg,PrimeGas,FreshHarvest Co.,1070.65,2018-12-06,BATCH-5064,2021-01-22
P0993,Paper Towels,Beverage,1L,Generic,Global Supply Ltd.,999.11,2021-11-13,BATCH-6082,2024-10-23
P0278,Isopropyl Alcohol 500ml,Non-perishable,1 pack,Generic,SafeMeds Inc.,1259.78,2017-03-01,BATCH-4598,2019-08-24
P0782,Isopropyl Alcohol 500ml,Non-perishable,1 pack,Nestle,SafeMeds Inc.,796.14,2018-11-28,BATCH-8636,2021-08-18
P0926,Rice 25kg,Consumable,1L,Dole,AquaLife Corp.,1296.95,2023-08-01,BATCH-5156,2025-02-27
P0965,Hand Sanitizer 250ml,Dry Goods,250ml,Generic,FoodLine Services,164.3,2023-10-18,BATCH-8899,2024-09-21
P0522,Rice 25kg,Dry Goods,1kg,Sanicare,FoodLine Services,286.88,2024-08-29,BATCH-2705,2027-07-10
P0237,Bottled Water 500ml,Perishable,500ml,Nestle,Global Supply Ltd.,1207.13,2017-01-05,BATCH-1584,2018-09-06
P0905,Medical Gloves Box,Perishable,1 box,Generic,FreshHarvest Co.,449.35,2021-09-05,BATCH-9487,2023-09-18
P0090,Medical Gloves Box,Dry Goods,500ml,Dole,AquaLife Corp.,439.3,2022-10-29,BATCH-8674,2024-06-14
P0876,Hand Sanitizer 250ml,Beverage,1 pack,Sanicare,MediCare Distributors,57.94,2022-12-12,BATCH-4165,2025-08-18
P0063,Bottled Water 500ml,Non-perishable,25kg,Nestle,AquaLife Corp.,714.6,2020-04-01,BATCH-5274,2021-11-27
